City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Mayo,38.8876,-76.5119,63.01,91,100,13.24,US,2022-01-02 21:41:24
139,Envira,-7.3,-70.2167,83.37,72,58,4.0,BR,2022-01-02 21:41:25
140,San Patricio,28.017,-97.5169,54.93,25,0,22.1,US,2022-01-02 21:42:25
141,Derzhavinsk,51.1,66.3167,16.97,88,100,11.16,KZ,2022-01-02 21:42:25
142,Hobyo,5.3505,48.5268,77.97,77,17,12.17,SO,2022-01-02 21:42:26
143,Taonan,45.3333,122.7833,1.2,78,51,8.7,CN,2022-01-02 21:42:26
144,Wanning,18.8003,110.3967,67.75,78,92,6.06,CN,2022-01-02 21:37:19
145,Celestun,20.8667,-90.4,79.59,79,0,12.06,MX,2022-01-02 21:42:26
146,Muravlenko,63.7898,74.523,-5.91,100,95,2.68,RU,2022-01-02 21:42:27
147,Inongo,-1.95,18.2667,73.71,86,99,1.1,CD,2022-01-02 21:42:27
148,Nalut,30.3333,10.85,51.73,69,0,9.42,LY,2022-01-02 21:42:28
149,Mantua,45.1667,10.7833,43.72,90,95,4.07,IT,2022-01-02 21:42:28
150,Kabinda,-6.1333,24.4833,67.87,92,97,1.99,CD,2022-01-02 21:42:28
151,Husavik,66.0449,-17.3389,13.91,86,100,37.24,IS,2022-01-02 21:42:29
152,Isangel,-19.55,169.2667,82.51,89,75,4.61,VU,2022-01-02 21:42:29
153,Dwarka,22.2394,68.9678,70.81,71,1,10.25,IN,2022-01-02 21:42:29
154,Muhos,64.808,25.9931,12.7,85,100,10.42,FI,2022-01-02 21:42:30
155,Seoul,37.5683,126.9778,11.71,79,0,1.14,KR,2022-01-02 21:42:30
156,Aklavik,68.2191,-135.0107,-24.77,89,100,14.07,CA,2022-01-02 21:42:30
157,Alakurtti,66.9672,30.3491,-2.97,100,100,2.04,RU,2022-01-02 21:42:31
158,Bengkulu,-3.8004,102.2655,73.49,90,60,3.24,ID,2022-01-02 21:42:31
159,Chuy,-33.6971,-53.4616,79.61,63,31,10.94,UY,2022-01-02 21:42:31
160,Tayu,-6.5397,111.0518,76.46,88,100,5.3,ID,2022-01-02 21:42:32
161,Nabinagar,23.8917,90.9733,66.27,66,99,2.68,BD,2022-01-02 21:42:32
162,Olafsvik,64.8945,-23.7142,26.89,53,0,14.7,IS,2022-01-02 21:42:32
163,Lebu,-37.6167,-73.65,61.03,95,86,7.14,CL,2022-01-02 21:36:47
164,Vostok,46.4856,135.8833,-11.94,95,100,10.54,RU,2022-01-02 21:42:33
165,Upernavik,72.7868,-56.1549,0.79,79,89,7.36,GL,2022-01-02 21:36:49
166,Dargaville,-35.9333,173.8833,72.97,53,100,8.84,NZ,2022-01-02 21:42:33
167,Gizo,-8.103,156.8419,83.23,76,60,12.1,SB,2022-01-02 21:42:34
168,Mar Del Plata,-38.0023,-57.5575,77.09,67,75,1.01,AR,2022-01-02 21:39:10
169,Vikhorevka,56.1201,101.1636,4.59,92,100,4.54,RU,2022-01-02 21:42:34
170,Milkovo,54.7167,158.6167,10.62,92,100,3.33,RU,2022-01-02 21:42:35
171,Kamaishi,39.2667,141.8833,27.54,70,17,21.52,JP,2022-01-02 21:42:35
172,Alexandria,31.2156,29.9553,60.76,82,40,4.61,EG,2022-01-02 21:41:06
173,Avarua,-21.2078,-159.775,82.45,78,20,16.11,CK,2022-01-02 21:42:35
174,Beyneu,45.3167,55.2,35.96,86,99,5.93,KZ,2022-01-02 21:42:36
175,Anadyr,64.75,177.4833,36.1,75,0,17.9,RU,2022-01-02 21:42:36
176,Laguna,38.421,-121.4238,58.66,67,1,1.01,US,2022-01-02 21:37:19
177,Zhanaozen,43.3,52.8,37.06,87,100,11.43,KZ,2022-01-02 21:42:36
178,Lulea,65.5842,22.1547,24.87,93,90,9.22,SE,2022-01-02 21:42:37
179,Nikolskoye,59.7035,30.7861,18.39,85,100,7.74,RU,2022-01-02 21:42:37
180,Kavieng,-2.5744,150.7967,82.98,76,97,9.33,PG,2022-01-02 21:42:37
181,Victoria,22.2855,114.1577,64.94,86,75,10.0,HK,2022-01-02 21:43:38
182,Iquitos,-3.7481,-73.2472,84.24,74,75,5.75,PE,2022-01-02 21:43:38
183,Bilibino,68.0546,166.4372,12.63,95,100,4.92,RU,2022-01-02 21:43:38
184,Vila Franca Do Campo,37.7167,-25.4333,67.19,96,100,18.54,PT,2022-01-02 21:43:39
185,Bajil,15.0584,43.2851,75.42,76,84,3.74,YE,2022-01-02 21:43:39
186,Cidreira,-30.1811,-50.2056,73.71,95,100,10.4,BR,2022-01-02 21:43:39
187,Puerto Ayora,-0.7393,-90.3518,82.36,80,67,11.1,EC,2022-01-02 21:43:40
188,Phu Ly,20.5411,105.9139,59.52,86,0,2.04,VN,2022-01-02 21:43:40
189,Kinston,35.2627,-77.5816,69.98,83,90,8.05,US,2022-01-02 21:41:02
190,Touros,-5.1989,-35.4608,85.1,74,92,14.67,BR,2022-01-02 21:43:40
191,Arman,59.7,150.1667,-2.7,91,100,11.74,RU,2022-01-02 21:43:41
192,Viedma,-40.8135,-62.9967,66.04,42,98,20.89,AR,2022-01-02 21:43:41
193,Nanortalik,60.1432,-45.2371,27.32,79,100,14.74,GL,2022-01-02 21:43:41
194,Lompoc,34.6391,-120.4579,63.84,34,1,6.91,US,2022-01-02 21:43:42
195,Ketchikan,55.3422,-131.6461,37.38,100,90,5.75,US,2022-01-02 21:43:09
196,Cockburn Town,21.4612,-71.1419,80.56,50,20,9.22,TC,2022-01-02 21:41:56
197,Fort William,56.8165,-5.1121,48.31,89,100,11.74,GB,2022-01-02 21:43:42
198,Yar-Sale,66.8333,70.8333,-16.73,100,100,8.48,RU,2022-01-02 21:37:20
199,Thai Binh,20.45,106.3333,59.0,81,0,5.19,VN,2022-01-02 21:43:43
200,Guiong,6.4186,122.0258,76.82,86,100,4.88,PH,2022-01-02 21:43:43
201,Bethel,41.3712,-73.414,48.72,88,90,1.99,US,2022-01-02 21:43:43
202,Chateauneuf-Les-Martigues,43.3833,5.1667,49.6,87,90,8.05,FR,2022-01-02 21:43:44
203,Severo-Kurilsk,50.6789,156.125,24.24,66,77,8.79,RU,2022-01-02 21:43:44
204,Qaanaaq,77.484,-69.3632,-3.32,71,97,7.96,GL,2022-01-02 21:43:44
205,Majene,-3.5403,118.9707,77.61,82,100,4.18,ID,2022-01-02 21:43:45
206,Haines Junction,60.7522,-137.5108,-14.85,53,100,9.22,CA,2022-01-02 21:43:45
207,San Cristobal,7.7669,-72.225,78.98,48,47,2.28,VE,2022-01-02 21:43:45
208,Rocha,-34.4833,-54.3333,80.71,59,28,9.08,UY,2022-01-02 21:43:46
209,Jequie,-13.8575,-40.0836,73.18,90,76,2.53,BR,2022-01-02 21:43:46
210,Gariadhar,21.5333,71.5833,68.16,64,0,7.7,IN,2022-01-02 21:43:46
211,Kulhudhuffushi,6.6221,73.07,80.82,76,11,7.25,MV,2022-01-02 21:43:47
212,Pangnirtung,66.1451,-65.7125,19.4,68,90,8.05,CA,2022-01-02 21:43:47
213,Geraldton,-28.7667,114.6,64.81,88,1,9.22,AU,2022-01-02 21:43:47
214,Tiksi,71.6872,128.8694,-32.26,100,82,1.66,RU,2022-01-02 21:43:48
215,Beringovskiy,63.05,179.3167,26.06,94,100,10.29,RU,2022-01-02 21:43:48
216,Ayan,56.45,138.1667,-19.16,81,2,12.08,RU,2022-01-02 21:43:48
217,Ukiah,39.1502,-123.2078,53.44,64,1,8.05,US,2022-01-02 21:43:48
218,Tyukhtet,56.5389,89.3011,19.04,81,100,10.96,RU,2022-01-02 21:43:49
219,Paamiut,61.994,-49.6678,25.66,73,100,13.96,GL,2022-01-02 21:36:54
220,Tezu,27.9167,96.1667,57.02,43,26,3.98,IN,2022-01-02 21:43:49
221,Murray Bridge,-35.1167,139.2667,65.48,64,2,11.88,AU,2022-01-02 21:43:50
222,Weinan,34.5036,109.5089,22.69,60,0,1.21,CN,2022-01-02 21:43:50
223,Sitka,57.0531,-135.33,33.69,55,75,18.41,US,2022-01-02 21:43:50
224,Broome,42.2506,-75.833,29.17,84,90,7.0,US,2022-01-02 21:43:51
225,Livingston,55.9029,-3.5226,48.13,85,75,24.16,GB,2022-01-02 21:43:22
226,Muroto,33.2833,134.15,32.04,59,35,8.86,JP,2022-01-02 21:43:51
