City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
234,Vestmannaeyjar,IS,63.4427,-20.2734,39.42,69,100,36.71,overcast clouds,2022-01-12 00:08:05
235,Avon,US,41.4517,-82.0354,25.18,55,0,10.0,clear sky,2022-01-12 00:10:48
236,Praia,CV,14.9215,-23.5087,71.65,66,85,9.19,overcast clouds,2022-01-12 00:10:55
237,Acajutla,SV,13.5928,-89.8275,86.34,61,31,3.29,scattered clouds,2022-01-12 00:14:40
238,Yumen,CN,40.2833,97.2,15.69,69,8,9.24,clear sky,2022-01-12 00:14:40
239,Kavieng,PG,-2.5744,150.7967,84.0,69,49,5.61,scattered clouds,2022-01-12 00:07:57
240,Avera,US,33.194,-82.5271,42.71,51,0,5.12,clear sky,2022-01-12 00:11:07
241,Ostersund,SE,63.1792,14.6357,30.65,74,47,16.11,scattered clouds,2022-01-12 00:14:41
242,Verkhniy Ufaley,RU,56.0567,60.2306,6.01,97,100,5.61,overcast clouds,2022-01-12 00:14:41
243,Upernavik,GL,72.7868,-56.1549,-5.21,99,100,10.58,overcast clouds,2022-01-12 00:08:51
244,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,100,12.77,overcast clouds,2022-01-12 00:11:27
245,Kieta,PG,-6.2167,155.6333,86.14,67,94,2.84,overcast clouds,2022-01-12 00:11:20
246,Harper,LR,4.375,-7.7169,79.23,80,59,8.68,broken clouds,2022-01-12 00:08:34
247,Muros,ES,42.7762,-9.0603,55.09,80,23,13.87,few clouds,2022-01-12 00:10:26
248,San Rafael Del Sur,NI,11.8485,-86.4384,83.3,47,1,15.66,clear sky,2022-01-12 00:14:42
249,Hendersonville,US,36.3048,-86.62,40.77,52,0,1.01,clear sky,2022-01-12 00:14:15
250,Itabira,BR,-19.6192,-43.2269,66.27,97,82,1.39,broken clouds,2022-01-12 00:14:42
251,Hofn,IS,64.2539,-15.2082,35.02,89,68,19.8,broken clouds,2022-01-12 00:08:58
252,Gizo,SB,-8.103,156.8419,84.51,73,100,10.67,light rain,2022-01-12 00:09:55
253,Halifax,CA,44.6453,-63.5724,4.68,73,90,5.99,overcast clouds,2022-01-12 00:13:58
254,Saldanha,ZA,-33.0117,17.9442,62.64,80,75,16.78,broken clouds,2022-01-12 00:09:29
255,Mahibadhoo,MV,3.7833,72.9667,81.09,73,74,6.91,broken clouds,2022-01-12 00:14:43
256,Cockburn Town,TC,21.4612,-71.1419,77.63,71,9,14.81,clear sky,2022-01-12 00:14:43
257,Kargat,RU,55.1956,80.2811,3.15,94,100,6.6,overcast clouds,2022-01-12 00:14:44
258,Kruisfontein,ZA,-34.0033,24.7314,59.88,93,87,2.57,overcast clouds,2022-01-12 00:11:37
259,Bosaso,SO,11.2842,49.1816,71.4,75,7,3.85,clear sky,2022-01-12 00:14:44
260,Nanortalik,GL,60.1432,-45.2371,15.46,76,72,11.14,broken clouds,2022-01-12 00:09:03
